Scenario,Controller,RMSE_ey,RMSE_epsi,IAE_ey,IAE_epsi,ITAE_ey,ITAE_epsi,PeakAbs_ey,PeakAbs_epsi,Max_ey,Min_ey,Ts_ey,Ts_epsi,ControlEnergy
tire_uncertainty_side_wind_IC2_large_offset,BNTSMC,0.1059772878010188,0.023601181307957315,0.39454747308448995,0.10923488368746759,0.5364977105718742,0.2856667695121858,0.9397053640978283,0.20018403395005732,0.9397053640978283,-0.005547791907872126,0.77,0.8200000000000001,0.04724140863180088
tire_uncertainty_side_wind_IC2_large_offset,TSMC,0.40262844636080924,0.021939435316890916,3.042121519793601,0.17850288585175003,3.892615480839928,0.4858788522751889,1.529497086598428,0.16,1.529497086598428,-0.004112098630282525,3.25,3.36,0.007085119161368444
tire_uncertainty_side_wind_IC2_large_offset,SMC,0.44978625912295955,0.023779477872758872,3.4844742959270514,0.19340490253381246,5.016636799328323,0.5099209449540789,1.663170332152939,0.16,1.663170332152939,-0.007166759355628708,3.5700000000000003,3.6,0.006589550095091101
tire_uncertainty_side_wind_IC3_negative_offset,BNTSMC,0.06729437985104719,0.01536064475454947,0.2601511425786724,0.07911592332454379,0.5043668019550444,0.2753351749921412,0.6343797104035502,0.13450260711753684,0.009298907254558635,-0.6343797104035502,0.6900000000000001,1.02,0.02727729217456505
tire_uncertainty_side_wind_IC3_negative_offset,TSMC,0.21719498055195563,0.013395051088233424,1.4488687602704218,0.1080822548377971,1.6076406587152081,0.350645496371704,0.9518940159894914,0.1,0.003525706856852637,-0.9518940159894914,2.54,2.6,0.005618892331327106
tire_uncertainty_side_wind_IC3_negative_offset,SMC,0.2384262855780837,0.014365377851605835,1.6680113854056746,0.11374369936692792,2.333064225840972,0.3529338682714569,1.0165872189572245,0.1,0.009504387298136437,-1.0165872189572245,3.0,2.65,0.005468061056779022
tire_uncertainty_side_wind_IC4_with_lateral_velocity,BNTSMC,0.053234479705838805,0.012377978523520294,0.21641330077927823,0.06780477889994548,0.4943859681129434,0.2707431460249711,0.49243297097226996,0.10734805963516865,0.49243297097226996,-0.005275124667342245,0.71,0.78,0.020654820348818416
tire_uncertainty_side_wind_IC4_with_lateral_velocity,TSMC,0.1894491623536677,0.013590258348665629,1.232956928695411,0.10968035923557556,1.3774094763810991,0.35385857355716677,0.838925401212384,0.08272212789602845,0.838925401212384,-0.004112098630282525,2.33,2.48,0.005665735680487303
tire_uncertainty_side_wind_IC4_with_lateral_velocity,SMC,0.21832024197661706,0.014916723893225596,1.5089223944338954,0.1207517163803913,2.1670725261124324,0.36815961832354516,0.9322544950744148,0.08400462396312951,0.9322544950744148,-0.007166759355628707,2.69,2.81,0.005485009851493488
tire_uncertainty_side_wind_IC5_opposite_heading,BNTSMC,0.052801334221109705,0.015516623251803693,0.1875666980592352,0.0736426551901109,0.47988150100425586,0.2670275179506562,0.7,0.13498208893412367,0.7,-0.005275124667342245,0.58,0.63,0.00722691233167781
tire_uncertainty_side_wind_IC5_opposite_heading,TSMC,0.05595425777680741,0.014533898484270133,0.19748313029788506,0.07386211927236927,0.3776739358372494,0.27358259998101364,0.7,0.12261350372876001,0.7,-0.004112098630282525,0.66,0.74,0.00593790655703103
tire_uncertainty_side_wind_IC5_opposite_heading,SMC,0.056894283145977824,0.014296114027773666,0.2486007795090887,0.07335230401661383,0.8584694964005637,0.26798591217876394,0.7,0.12190812884993406,0.7,-0.008252782091374124,0.74,0.73,0.005861529337107159
